Dealname,Account,Roles,Technology,Grade,TREQ,Creation Date,Treq Start Date,Treq Aging,Priority,Location,Associate Identified
Deal 020,Client A,Cloud Engineer,AWS,G5,TREQ020,2025-01-20,2025-01-24,4,Critical,NYC,
Deal 021,Client B,Cloud Architect,AWS,G6,TREQ021,2025-01-21,2025-01-25,4,Critical,SF,
Deal 022,Client C,DevOps Engineer,AWS,G5,TREQ022,2025-01-22,2025-01-26,4,High,Chicago,
Deal 023,Client D,Cloud Engineer,AWS,G5,TREQ023,2025-01-23,2025-01-27,4,High,Boston,
Deal 024,Client E,Solutions Architect,AWS,G6,TREQ024,2025-01-24,2025-01-28,4,Critical,Seattle,
Deal 025,Client A,DevOps Engineer,DevOps,G5,TREQ025,2025-01-25,2025-01-29,4,High,NYC,
Deal 026,Client B,SRE,DevOps,G5,TREQ026,2025-01-26,2025-01-30,4,High,SF,
Deal 027,Client C,Platform Engineer,DevOps,G4,TREQ027,2025-01-27,2025-01-31,4,High,Chicago,
Deal 028,Client D,DevOps Lead,DevOps,G6,TREQ028,2025-01-28,2025-02-01,4,Critical,Boston,
Deal 029,Client A,Data Engineer,Spark,G5,TREQ029,2025-01-29,2025-02-02,4,High,NYC,
Deal 030,Client B,Big Data Engineer,Spark,G5,TREQ030,2025-01-30,2025-02-03,4,High,SF,
Deal 031,Client C,Data Engineer,Spark,G4,TREQ031,2025-01-31,2025-02-04,4,High,Chicago,
Deal 032,Client D,Data Architect,Spark,G6,TREQ032,2025-02-01,2025-02-05,4,Critical,Boston,
Deal 033,Client A,QA Engineer,Selenium,G4,TREQ033,2025-02-02,2025-02-06,4,High,NYC,
Deal 034,Client B,Test Automation,Selenium,G4,TREQ034,2025-02-03,2025-02-07,4,High,SF,
Deal 035,Client C,SDET,Selenium,G5,TREQ035,2025-02-04,2025-02-08,4,High,Chicago,
Deal 036,Client A,Backend Dev,Node.js,G4,TREQ036,2025-02-05,2025-02-09,4,High,NYC,
Deal 037,Client B,Full Stack Dev,Node.js,G5,TREQ037,2025-02-06,2025-02-10,4,High,SF,
Deal 038,Client C,Backend Dev,Node.js,G4,TREQ038,2025-02-07,2025-02-11,4,Medium,Chicago,
Deal 039,Client A,Frontend Dev,React,G4,TREQ039,2025-02-08,2025-02-12,4,High,NYC,
Deal 040,Client B,Frontend Dev,React,G4,TREQ040,2025-02-09,2025-02-13,4,High,SF,
Deal 041,Client C,UI Developer,React,G3,TREQ041,2025-02-10,2025-02-14,4,Medium,Chicago,
Deal 042,Client A,Frontend Dev,JavaScript,G4,TREQ042,2025-02-11,2025-02-15,4,High,NYC,
Deal 043,Client B,Full Stack Dev,JavaScript,G5,TREQ043,2025-02-12,2025-02-16,4,High,SF,
Deal 044,Client A,Data Analyst,SQL,G4,TREQ044,2025-02-13,2025-02-17,4,High,NYC,
Deal 045,Client B,Database Dev,SQL,G4,TREQ045,2025-02-14,2025-02-18,4,High,SF,
Deal 046,Client C,Data Engineer,SQL,G5,TREQ046,2025-02-15,2025-02-19,4,High,Chicago,
Deal 047,Client A,Security Engineer,Cybersecurity,G5,TREQ047,2025-02-16,2025-02-20,4,Critical,NYC,
Deal 048,Client B,Security Analyst,Cybersecurity,G4,TREQ048,2025-02-17,2025-02-21,4,High,SF,
Deal 049,Client A,K8s Engineer,Kubernetes,G5,TREQ049,2025-02-18,2025-02-22,4,High,NYC,
Deal 050,Client B,Platform Engineer,Kubernetes,G5,TREQ050,2025-02-19,2025-02-23,4,High,SF,
Deal 051,Client A,DevOps Engineer,Docker,G4,TREQ051,2025-02-20,2025-02-24,4,High,NYC,
Deal 052,Client B,Container Engineer,Docker,G4,TREQ052,2025-02-21,2025-02-25,4,High,SF,
Deal 053,Client A,Cloud Engineer,Azure,G5,TREQ053,2025-02-22,2025-02-26,4,High,NYC,
Deal 054,Client B,Cloud Architect,Azure,G6,TREQ054,2025-02-23,2025-02-27,4,High,SF,
Deal 055,Client A,DevOps Engineer,CI/CD,G4,TREQ055,2025-02-24,2025-02-28,4,High,NYC,
Deal 056,Client B,Release Engineer,CI/CD,G5,TREQ056,2025-02-25,2025-03-01,4,High,SF,
Deal 057,Client A,Data Engineer,Kafka,G5,TREQ057,2025-02-26,2025-03-02,4,High,NYC,
Deal 058,Client B,Stream Engineer,Kafka,G5,TREQ058,2025-02-27,2025-03-03,4,High,SF,
Deal 059,Client A,DL Engineer,TensorFlow,G5,TREQ059,2025-02-28,2025-03-04,4,Critical,NYC,
Deal 060,Client B,AI Engineer,TensorFlow,G6,TREQ060,2025-03-01,2025-03-05,4,Critical,SF,
Deal 061,Client A,DL Engineer,PyTorch,G5,TREQ061,2025-03-02,2025-03-06,4,Critical,NYC,
Deal 062,Client B,ML Engineer,PyTorch,G6,TREQ062,2025-03-03,2025-03-07,4,Critical,SF,
Deal 063,Client A,Backend Dev,Spring Boot,G5,TREQ063,2025-03-04,2025-03-08,4,High,NYC,
Deal 064,Client B,Microservices Dev,Spring Boot,G5,TREQ064,2025-03-05,2025-03-09,4,High,SF,
Deal 065,Client A,DevOps Engineer,Terraform,G5,TREQ065,2025-03-06,2025-03-10,4,High,NYC,
Deal 066,Client B,IaC Engineer,Terraform,G5,TREQ066,2025-03-07,2025-03-11,4,High,SF,
Deal 067,Client A,Backend Dev,Microservices,G5,TREQ067,2025-03-08,2025-03-12,4,High,NYC,
Deal 068,Client B,Architect,Microservices,G6,TREQ068,2025-03-09,2025-03-13,4,High,SF,
Deal 069,Client A,SysAdmin,Linux,G4,TREQ069,2025-03-10,2025-03-14,4,High,NYC,
Deal 070,Client B,Linux Engineer,Linux,G4,TREQ070,2025-03-11,2025-03-15,4,High,SF,
Deal 071,Client A,Data Scientist,Data Science,G5,TREQ071,2025-03-12,2025-03-16,4,Critical,NYC,
Deal 072,Client B,Data Analyst,Data Science,G4,TREQ072,2025-03-13,2025-03-17,4,High,SF,
Deal 073,Client A,Big Data Engineer,Big Data,G5,TREQ073,2025-03-14,2025-03-18,4,High,NYC,
Deal 074,Client B,Data Engineer,Big Data,G5,TREQ074,2025-03-15,2025-03-19,4,High,SF,
Deal 075,Client A,API Developer,API,G4,TREQ075,2025-03-16,2025-03-20,4,High,NYC,
Deal 076,Client B,Backend Dev,API,G4,TREQ076,2025-03-17,2025-03-21,4,High,SF,
Deal 077,Client A,Go Developer,Go,G5,TREQ077,2025-03-18,2025-03-22,4,High,NYC,
Deal 078,Client B,Backend Dev,Go,G5,TREQ078,2025-03-19,2025-03-23,4,High,SF,
Deal 079,Client A,Angular Dev,Angular,G4,TREQ079,2025-03-20,2025-03-24,4,Medium,NYC,
Deal 080,Client B,Frontend Dev,Angular,G4,TREQ080,2025-03-21,2025-03-25,4,Medium,SF,
