Emp_Id,Grade,Department,Primary_Skill,Secondary_Skill,Course_Category,Duration_Hours,Delivery_Mode,Business_Priority,Skill_Gap_Score,Availability_Hours_Per_Week,Bench_Status,Performance_Rating,Learning_Style,Career_Goal,Completion_Percentage,Assessment_Score,Training_Success,Training_Course_Name,Mark_Range
E032,G3,Engineering,Vue.js,Nuxt,Development,45.0,Online,High,0.55,25.0,Aligned Opportunity,3.5,Visual,Frontend Dev,0.0,0.0,Fail,General Training Course,No Assessment
E033,G5,IT Support,Splunk,ELK,Security,40.0,Online,Critical,0.3,0.0,Not Available,4.0,Reading,Security Analyst,100.0,79.0,Pass,Network Security Fundamentals,70-79 (Pass)
E034,G3,QA,TestRail,Zephyr,Testing,20.0,Online,High,0.4,15.0,Aligned Opportunity,3.6,Visual,Test Analyst,70.0,0.0,Fail,QA Best Practices,No Assessment
E035,G5,Data Science,dbt,Airflow,Data Engineering,40.0,Hybrid,High,0.2,0.0,Not Available,4.2,Hands-on,Data Engineer,100.0,82.0,Pass,General Training Course,80-89 (Very Good)
E036,G3,Engineering,Dart,Flutter,Development,30.0,Online,High,0.35,0.0,Not Available,3.7,Visual,Mobile Dev,100.0,76.0,Pass,General Training Course,70-79 (Pass)
E037,G5,Engineering,GraphQL,Apollo,Backend,50.0,Hybrid,High,0.4,15.0,Available,4.1,Hands-on,API Developer,45.0,0.0,Fail,Backend Performance Optimization,No Assessment
E038,G3,IT Support,Zabbix,Nagios,Cloud,40.0,Online,Critical,0.5,18.0,Aligned Opportunity,3.5,Visual,IT Support,50.0,0.0,Fail,Google Cloud Platform,No Assessment
E039,G5,QA,Tosca,UFT,Testing,35.0,Hybrid,High,0.25,0.0,Not Available,4.0,Hands-on,QA Lead,100.0,81.0,Pass,QA Best Practices,80-89 (Very Good)
E040,G4,QA,Selenium,Cypress,Programming,30.0,Online,High,0.3,0.0,Not Available,3.9,Hands-on,Automation Eng,100.0,78.0,Pass,Refactoring Techniques,70-79 (Pass)
E041,G5,Engineering,Cloud,Azure,Cloud,60.0,Hybrid,Critical,0.35,12.0,Available,4.2,Reading,Cloud Specialist,70.0,0.0,Fail,AWS Solutions Architecture,No Assessment
E042,G3,QA,Selenium,Cypress,Testing,35.0,Hybrid,High,0.4,15.0,Aligned Opportunity,3.6,Hands-on,QA Analyst,65.0,0.0,Fail,QA Best Practices,No Assessment
E043,G5,Data Science,R,Python,Data Science,60.0,Hybrid,Critical,0.2,0.0,Not Available,4.3,Reading,Data Scientist,100.0,84.0,Pass,Statistical Analysis,80-89 (Very Good)
E044,G4,QA,JMeter,Gatling,Testing,20.0,Online,High,0.25,0.0,Not Available,3.8,Hands-on,Perf Tester,100.0,80.0,Pass,Automated Testing Frameworks,80-89 (Very Good)
E045,G6,Engineering,Rust,WebAssembly,Architecture,70.0,Hybrid,Critical,0.3,8.0,Available,4.6,Reading,Systems Architect,80.0,0.0,Fail,Cloud Architecture,No Assessment
E046,G6,Data Science,NLP,Transformers,Data Science,50.0,Hybrid,Critical,0.15,0.0,Not Available,4.7,Reading,NLP Lead,100.0,92.0,Pass,Big Data Processing,90-100 (Excellent)
E047,G6,Engineering,Erlang,Elixir,Development,50.0,Hybrid,High,0.4,12.0,Available,4.4,Hands-on,Backend Architect,55.0,0.0,Fail,General Training Course,No Assessment
E048,G6,Data Science,Kafka,Flink,Data Engineering,55.0,Hybrid,High,0.2,0.0,Not Available,4.5,Hands-on,Stream Engineer,100.0,86.0,Pass,General Training Course,80-89 (Very Good)
E049,G6,QA,Security,OWASP,Security,60.0,Hybrid,Critical,0.25,0.0,Not Available,4.3,Hands-on,Security Lead,100.0,85.0,Pass,Penetration Testing,80-89 (Very Good)
E050,G6,Engineering,Clojure,ClojureScript,Programming,40.0,Hybrid,High,0.3,0.0,Not Available,4.2,Reading,Functional Dev,100.0,80.0,Pass,Code Quality,80-89 (Very Good)
E051,G6,Data Science,MLflow,Kubeflow,Data Science,50.0,Hybrid,Critical,0.25,10.0,Available,4.6,Reading,MLOps Lead,75.0,0.0,Fail,Predictive Analytics,No Assessment
E052,G6,QA,Accessibility,WCAG,Management,35.0,Online,Medium,0.3,0.0,Not Available,4.1,Visual,A11y Specialist,100.0,78.0,Pass,Technical Leadership,70-79 (Pass)
E053,G6,Engineering,WebRTC,Socket.io,Development,50.0,Hybrid,High,0.2,0.0,Not Available,4.4,Hands-on,Real-time Dev,100.0,84.0,Pass,General Training Course,80-89 (Very Good)
E054,G6,Data Science,Jupyter,Colab,Data Science,80.0,Hybrid,Critical,0.15,0.0,Not Available,4.8,Reading,Research Scientist,100.0,91.0,Pass,Statistical Analysis,90-100 (Excellent)
E055,G6,Engineering,Unity,Unreal,Development,30.0,Online,Medium,0.4,15.0,Available,4.3,Hands-on,Game Dev,60.0,0.0,Fail,General Training Course,No Assessment
E056,G6,Engineering,AI,OpenAI,Data Science,50.0,Hybrid,Critical,0.1,0.0,Not Available,4.9,Hands-on,AI Architect,100.0,95.0,Pass,Advanced Machine Learning,90-100 (Excellent)
E057,G6,Data Science,Time Series,Prophet,Data Science,60.0,Hybrid,Critical,0.2,0.0,Not Available,4.5,Reading,Forecasting Lead,100.0,87.0,Pass,Predictive Analytics,80-89 (Very Good)
E058,G6,Engineering,Microservices,gRPC,Architecture,70.0,Hybrid,Critical,0.35,10.0,Available,4.6,Reading,Architect,50.0,0.0,Fail,System Design,No Assessment
E059,G4,Engineering,Next.js,React,Development,45.0,Online,High,0.25,0.0,Not Available,4.0,Visual,Full Stack Dev,100.0,79.0,Pass,General Training Course,70-79 (Pass)
E060,G4,Engineering,Svelte,SvelteKit,Development,30.0,Online,High,0.3,0.0,Not Available,3.8,Visual,UI Developer,100.0,77.0,Pass,General Training Course,70-79 (Pass)
E061,G4,QA,Playwright,Puppeteer,Testing,35.0,Hybrid,High,0.25,0.0,Not Available,3.9,Hands-on,E2E Tester,100.0,82.0,Pass,Testing Automation Tools,80-89 (Very Good)
E062,G4,IT Support,PagerDuty,OpsGenie,Cloud,40.0,Online,Critical,0.4,15.0,Aligned Opportunity,3.7,Visual,On-call Eng,70.0,0.0,Fail,Multi-Cloud Strategy,No Assessment
E063,G4,QA,SoapUI,REST Assured,Testing,20.0,Online,High,0.2,0.0,Not Available,4.0,Hands-on,API Tester,100.0,83.0,Pass,Performance Testing,80-89 (Very Good)
E064,G4,IT Support,Cloudflare,Fastly,Security,40.0,Online,Critical,0.45,18.0,Aligned Opportunity,3.8,Reading,CDN Specialist,65.0,0.0,Fail,Network Security Fundamentals,No Assessment
E065,G4,Data Science,Neo4j,Graph,Analytics,25.0,Online,High,0.3,0.0,Not Available,3.9,Hands-on,Graph Analyst,100.0,80.0,Pass,Business Intelligence,80-89 (Very Good)
E066,G6,IT Support,Kubernetes,Helm,DevOps,35.0,Hybrid,Critical,0.2,0.0,Not Available,4.4,Hands-on,K8s Admin,100.0,85.0,Pass,Kubernetes Orchestration,80-89 (Very Good)
E067,G4,Engineering,Remix,Qwik,Development,45.0,Online,High,0.4,15.0,Aligned Opportunity,3.7,Visual,Web Framework Dev,55.0,0.0,Fail,General Training Course,No Assessment
E068,G4,IT Support,GitHub Actions,GitLab CI,DevOps,15.0,Online,High,0.2,0.0,Not Available,4.0,Hands-on,CI CD Admin,100.0,86.0,Pass,Container Orchestration,80-89 (Very Good)
E069,G3,QA,TestNG,JUnit,Programming,30.0,Online,High,0.35,12.0,Aligned Opportunity,3.5,Visual,Test Engineer,100.0,75.0,Pass,Refactoring Techniques,70-79 (Pass)
E070,G4,IT Support,Cisco,Juniper,Infrastructure,40.0,Hybrid,High,0.25,0.0,Not Available,3.9,Hands-on,Network Eng,100.0,80.0,Pass,Infrastructure Monitoring,80-89 (Very Good)
E071,G5,IT Support,AWS,Lambda,Cloud,60.0,Hybrid,Critical,0.2,0.0,Not Available,4.2,Reading,Cloud Admin,100.0,84.0,Pass,AWS Solutions Architecture,80-89 (Very Good)
E072,G4,Engineering,CSharp,NET Core,Backend,50.0,Hybrid,High,0.4,15.0,Available,3.8,Hands-on,Software Eng,60.0,0.0,Fail,Backend Performance Optimization,No Assessment
E073,G4,IT Support,ServiceNow,ITSM,Management,20.0,Online,Medium,0.3,0.0,Not Available,3.9,Reading,ITSM Specialist,100.0,78.0,Pass,Project Management,70-79 (Pass)
E074,G5,Data Science,Scikit-learn,XGBoost,Data Science,80.0,Hybrid,Critical,0.25,8.0,Available,4.3,Hands-on,ML Developer,85.0,0.0,Pass,Big Data Processing,No Assessment
E075,G5,Engineering,Nginx,HAProxy,DevOps,30.0,Hybrid,High,0.2,0.0,Not Available,4.1,Hands-on,Infra Eng,100.0,82.0,Pass,Kubernetes Orchestration,80-89 (Very Good)
E076,G3,IT Support,Active Directory,LDAP,Security,40.0,Online,Critical,0.55,22.0,Aligned Opportunity,3.4,Reading,Directory Admin,0.0,0.0,Fail,Penetration Testing,No Assessment
E077,G5,QA,Allure,ReportPortal,Management,20.0,Online,Medium,0.25,0.0,Not Available,4.0,Visual,Test Reporter,100.0,77.0,Pass,Technical Leadership,70-79 (Pass)
E078,G3,Data Science,Plotly,Dash,Analytics,30.0,Online,High,0.3,0.0,Not Available,3.6,Visual,Visualization Dev,100.0,79.0,Pass,Predictive Modeling,70-79 (Pass)
E079,G5,Engineering,FastAPI,Starlette,Programming,40.0,Hybrid,High,0.2,0.0,Not Available,4.2,Hands-on,Python Backend,100.0,85.0,Pass,Programming Best Practices,80-89 (Very Good)
E080,G3,Engineering,WordPress,Drupal,Development,30.0,Online,High,0.4,15.0,Aligned Opportunity,3.5,Visual,CMS Developer,100.0,74.0,Pass,General Training Course,70-79 (Pass)
E081,G5,IT Support,Datadog,New Relic,Cloud,40.0,Online,Critical,0.35,12.0,Available,4.1,Reading,APM Specialist,70.0,0.0,Fail,Multi-Cloud Strategy,No Assessment
E082,G3,QA,Manual,Exploratory,Testing,20.0,Online,High,0.35,0.0,Not Available,3.4,Visual,Manual Tester,100.0,76.0,Pass,Test Strategy,70-79 (Pass)
E083,G5,Data Science,Computer Vision,OpenCV,Data Science,80.0,Hybrid,Critical,0.3,10.0,Available,4.4,Hands-on,CV Engineer,70.0,0.0,Fail,Predictive Analytics,No Assessment
E084,G3,Engineering,Lisp,Scheme,Backend,40.0,Online,High,0.5,18.0,Aligned Opportunity,3.3,Reading,Legacy Dev,45.0,0.0,Fail,Advanced Backend Architecture,No Assessment
E085,G5,Engineering,Perl,CGI,Programming,30.0,Online,High,0.25,0.0,Not Available,4.0,Hands-on,Script Dev,100.0,80.0,Pass,Design Patterns,80-89 (Very Good)
E086,G3,IT Support,Ansible,Tower,Infrastructure,40.0,Hybrid,High,0.45,15.0,Aligned Opportunity,3.5,Hands-on,Config Mgmt,60.0,0.0,Fail,Infrastructure Monitoring,No Assessment
E087,G5,QA,Contract,Pact,Testing,35.0,Hybrid,High,0.2,0.0,Not Available,4.1,Hands-on,Contract Tester,100.0,81.0,Pass,Testing Automation Tools,80-89 (Very Good)
E088,G3,Data Science,Statistical,Bayesian,Analytics,35.0,Online,High,0.3,0.0,Not Available,3.7,Reading,Statistician,100.0,83.0,Pass,Predictive Modeling,80-89 (Very Good)
E089,G6,Engineering,Haskell,PureScript,Programming,40.0,Hybrid,High,0.25,0.0,Not Available,4.5,Reading,FP Developer,100.0,82.0,Pass,Design Patterns,80-89 (Very Good)
E090,G4,Data Science,Snowflake,Redshift,Analytics,35.0,Hybrid,High,0.4,15.0,Available,3.9,Hands-on,Data Warehouse,55.0,0.0,Fail,Advanced Analytics,No Assessment
E091,G6,IT Support,Okta,Auth0,Security,60.0,Hybrid,Critical,0.2,0.0,Not Available,4.3,Reading,IAM Specialist,100.0,84.0,Pass,Penetration Testing,80-89 (Very Good)
E092,G4,Engineering,Blazor,MAUI,Development,45.0,Online,High,0.35,12.0,Available,3.8,Visual,NET Frontend,70.0,0.0,Fail,General Training Course,No Assessment
E093,G4,Data Science,H2O,AutoML,Data Science,60.0,Hybrid,Critical,0.5,18.0,Aligned Opportunity,3.7,Hands-on,ML Engineer,40.0,0.0,Fail,Advanced Machine Learning,No Assessment
E094,G6,IT Support,Puppet,Chef,DevOps,35.0,Hybrid,Critical,0.25,0.0,Not Available,4.2,Hands-on,Config Mgmt Lead,100.0,83.0,Pass,CI/CD Pipeline Management,80-89 (Very Good)
E095,G4,Engineering,Webpack,Vite,Development,30.0,Online,High,0.3,0.0,Not Available,3.9,Visual,Build Eng,100.0,78.0,Pass,General Training Course,70-79 (Pass)
E096,G6,QA,Chaos,Resilience,Security,60.0,Hybrid,Critical,0.2,0.0,Not Available,4.4,Hands-on,SRE Tester,100.0,87.0,Pass,Penetration Testing,80-89 (Very Good)
E097,G4,Engineering,Electron,Tauri,Development,45.0,Online,High,0.5,20.0,Aligned Opportunity,3.6,Visual,Desktop Dev,0.0,0.0,Fail,General Training Course,No Assessment
E098,G4,QA,Performance,Metrics,Testing,20.0,Online,High,0.25,0.0,Not Available,3.8,Hands-on,Perf Analyst,100.0,80.0,Pass,Testing Automation Tools,80-89 (Very Good)
E099,G6,Engineering,Observability,OpenTelemetry,DevOps,50.0,Hybrid,Critical,0.15,0.0,Not Available,4.6,Hands-on,SRE Engineer,100.0,89.0,Pass,CI/CD Pipeline Management,80-89 (Very Good)
E100,G4,Engineering,Webpack,Vite,Development,30.0,Online,High,0.2579106110676867,0.0,Not Available,3.6542831455215,Visual,Build Eng,100.0,73.44776623355352,Pass,General Training Course,70-79 (Pass)
E101,G6,Engineering,Clojure,ClojureScript,Programming,40.0,Hybrid,High,0.3278618505834055,0.0,Not Available,4.16300231490813,Reading,Functional Dev,100.0,78.31886873682365,Pass,Refactoring Techniques,70-79 (Pass)
E102,G5,Engineering,Java,Spring Boot,Backend,50.0,Hybrid,High,0.3149636025363808,4.315919193164495,Available,4.4698656916858175,Hands-on,Tech Lead,92.37141774830698,82.64673614370385,Pass,Microservices Patterns,80-89 (Very Good)
E103,G6,Engineering,Clojure,ClojureScript,Programming,40.0,Hybrid,High,0.2892497566709527,0.0,Not Available,4.41333240983313,Reading,Functional Dev,100.0,81.85844102851793,Pass,Advanced OOP,80-89 (Very Good)
E104,G5,Data Science,SAS,SPSS,Data Science,60.0,Hybrid,Critical,0.4571827972907378,16.604734577317252,Aligned Opportunity,3.996053372334624,Reading,Data Scientist,54.66119316559944,4.997174588476081,Fail,Advanced Machine Learning,0-59 (Fail)
E105,G5,Engineering,Docker,Compose,DevOps,50.0,Hybrid,Critical,0.1253116568461844,0.8482517463220134,Available,4.287168625615749,Hands-on,DevOps Lead,93.34947898202638,88.66510772182694,Pass,Infrastructure as Code,80-89 (Very Good)
E106,G4,Engineering,Ruby,Rails,Development,30.0,Online,High,0.4203289868340364,21.925474344254944,Aligned Opportunity,4.0375946596552055,Visual,Full Stack Dev,90.08849720733885,79.42749724140032,Pass,General Training Course,70-79 (Pass)
E107,G4,Engineering,Svelte,SvelteKit,Development,30.0,Online,High,0.3110153469122626,0.0,Not Available,3.860795351224901,Visual,UI Developer,100.0,81.26993869760832,Pass,General Training Course,80-89 (Very Good)
E108,G6,Engineering,Clojure,ClojureScript,Programming,40.0,Hybrid,High,0.2363940903343125,3.628872985806547,Available,4.374296524048045,Reading,Functional Dev,91.61639076011812,82.59556826877221,Pass,Programming Best Practices,80-89 (Very Good)
E109,G4,Engineering,Python,Django,Programming,40.0,Hybrid,High,0.1684039653539497,2.5640870580077104,Available,3.98808638164308,Hands-on,Backend Dev,90.56086495984786,84.88097547900786,Pass,Code Quality,80-89 (Very Good)
E110,G6,Data Science,MLflow,Kubeflow,Data Science,50.0,Hybrid,Critical,0.3149794841637749,10.592336337697564,Aligned Opportunity,4.79796889064626,Reading,MLOps Lead,75.36971427699149,4.578410353808515,Fail,Predictive Analytics,0-59 (Fail)
E111,G6,Data Science,MLflow,Kubeflow,Data Science,50.0,Hybrid,Critical,0.169722648846751,9.7188982743428,Aligned Opportunity,4.359715380239319,Reading,MLOps Lead,81.70047887563587,1.666018015495684,Fail,Data Visualization Techniques,0-59 (Fail)
E112,G4,QA,JMeter,Gatling,Testing,20.0,Online,High,0.2137648727371031,0.0,Not Available,3.6487160950166975,Hands-on,Perf Tester,97.85136730627032,80.83110653773049,Pass,Performance Testing,80-89 (Very Good)
E113,G4,IT Support,Cisco,Juniper,Infrastructure,40.0,Hybrid,High,0.2268342966791371,0.0,Not Available,4.045255743766675,Hands-on,Network Eng,100.0,83.21087124689224,Pass,System Architecture,80-89 (Very Good)
E114,G4,QA,JMeter,Gatling,Testing,20.0,Online,High,0.3431401227894178,4.43347539482944,Available,3.8351527377225865,Hands-on,Perf Tester,100.0,83.12818128123034,Pass,Testing Automation Tools,80-89 (Very Good)
E115,G6,Data Science,Time Series,Prophet,Data Science,60.0,Hybrid,Critical,0.2941785741756773,0.0,Not Available,4.354864427076957,Reading,Forecasting Lead,93.82586411442672,88.46802772733827,Pass,Advanced Machine Learning,80-89 (Very Good)
E116,G5,Engineering,Nginx,HAProxy,DevOps,30.0,Hybrid,High,0.2506745418864583,0.0,Not Available,4.127179330269709,Hands-on,Infra Eng,93.356224667007,78.465731688168,Pass,DevOps Best Practices,70-79 (Pass)
E117,G4,QA,Playwright,Puppeteer,Testing,35.0,Hybrid,High,0.2774933748541456,0.0,Not Available,3.702967751757332,Hands-on,E2E Tester,93.6866285542028,82.2353351475722,Pass,Performance Testing,80-89 (Very Good)
E118,G4,Engineering,PHP,Laravel,Development,50.0,Hybrid,High,0.5811216446293433,23.85632514541816,Aligned Opportunity,4.045108217261583,Hands-on,Backend Dev,0.0,0.0,Fail,General Training Course,No Assessment
E119,G4,QA,Appium,Mobile Testing,Testing,35.0,Hybrid,High,0.6299356468249229,24.56231468123767,Aligned Opportunity,3.7810459792525073,Hands-on,Test Lead,0.0,0.0,Fail,QA Best Practices,No Assessment
E120,G4,Engineering,Python,Django,Programming,40.0,Hybrid,High,0.1540302521075402,0.0,Not Available,3.8199505370580025,Hands-on,Backend Dev,95.86068402997508,85.45302859352847,Pass,Advanced OOP,80-89 (Very Good)
E121,G6,Engineering,Observability,OpenTelemetry,DevOps,50.0,Hybrid,Critical,0.2475527010881419,3.5679595207435923,Available,4.369925694567337,Hands-on,SRE Engineer,94.1965601875591,85.41139891134043,Pass,Container Orchestration,80-89 (Very Good)
E122,G6,Engineering,AI,OpenAI,Data Science,50.0,Hybrid,Critical,0.0698324692335375,1.7257061824833837,Available,4.960195599512974,Hands-on,AI Architect,100.0,96.11965479356704,Pass,Big Data Processing,90-100 (Excellent)
E123,G5,Engineering,GraphQL,Apollo,Backend,50.0,Hybrid,High,0.3419107019046011,16.54391802145779,Aligned Opportunity,3.935163371426228,Hands-on,API Developer,46.70218899121413,0.4829903719593744,Fail,Advanced Backend Architecture,0-59 (Fail)
E124,G5,Data Science,Scikit-learn,XGBoost,Data Science,80.0,Hybrid,Critical,0.1568611669369521,11.27591095144814,Aligned Opportunity,4.038943628154182,Hands-on,ML Developer,81.14602435590007,0.0,Pass,Big Data Processing,No Assessment
E125,G5,Engineering,GraphQL,Apollo,Backend,50.0,Hybrid,High,0.4052090487459159,12.703589100456773,Aligned Opportunity,3.87387867354625,Hands-on,API Developer,54.56982556499391,4.791381638195443,Fail,Backend Performance Optimization,0-59 (Fail)
E126,G4,Data Science,H2O,AutoML,Data Science,60.0,Hybrid,Critical,0.5590031626134393,22.86385387612693,Aligned Opportunity,3.672626074536306,Hands-on,ML Engineer,41.01435463844093,4.810312240543883,Fail,Advanced Machine Learning,0-59 (Fail)
E127,G5,Data Science,Scikit-learn,XGBoost,Data Science,80.0,Hybrid,Critical,0.3188927175952474,8.71496039106162,Aligned Opportunity,4.307423658556033,Hands-on,ML Developer,78.31491807108851,0.0,Pass,Statistical Analysis,No Assessment
E128,G6,Data Science,NLP,Transformers,Data Science,50.0,Hybrid,Critical,0.0955641168473094,0.0,Not Available,4.673484993940357,Reading,NLP Lead,100.0,89.5044230002456,Pass,Data Visualization Techniques,80-89 (Very Good)
E129,G6,Data Science,Time Series,Prophet,Data Science,60.0,Hybrid,Critical,0.2308601926433903,1.7021037056970574,Available,4.245638736437256,Reading,Forecasting Lead,94.55021483317698,91.25807497715256,Pass,Advanced Machine Learning,90-100 (Excellent)
E130,G5,Engineering,Swift,iOS,Development,45.0,Online,Medium,0.2943135796702399,0.0230552901573464,Available,4.168323075739464,Hands-on,iOS Lead,100.0,83.98237357187455,Pass,General Training Course,80-89 (Very Good)
E131,G4,Engineering,Remix,Qwik,Development,45.0,Online,High,0.4615152858081984,17.108378715275396,Aligned Opportunity,3.587565941910302,Visual,Web Framework Dev,55.94270015373287,4.506470041911021,Fail,General Training Course,0-59 (Fail)
E132,G3,Data Science,Statistical,Bayesian,Analytics,35.0,Online,High,0.3356293394230907,0.0,Not Available,3.874984457801606,Reading,Statistician,90.9152826017866,78.53945115294016,Pass,Analytics Dashboard,70-79 (Pass)
E133,G3,Engineering,Dart,Flutter,Development,30.0,Online,High,0.3609701274964157,0.957293196475664,Available,3.986930819447698,Visual,Mobile Dev,100.0,77.47776189388281,Pass,General Training Course,70-79 (Pass)
E134,G3,IT Support,Active Directory,LDAP,Security,40.0,Online,Critical,0.4760994398568663,22.3240822070816,Aligned Opportunity,3.197248757078915,Reading,Directory Admin,6.096653146981545,0.0,Fail,Security Architecture,No Assessment
E135,G5,Engineering,Python,FastAPI,Development,50.0,Hybrid,High,0.304692564347405,9.662060501442555,Aligned Opportunity,4.35761350556883,Hands-on,Full Stack Lead,51.07110974338076,3.275588600750508,Fail,General Training Course,0-59 (Fail)
