Emp_Id,Grade,Department,Primary_Skill,Secondary_Skill,Course_Category,Duration_Hours,Delivery_Mode,Business_Priority,Skill_Gap_Score,Availability_Hours_Per_Week,Bench_Status,Performance_Rating,Learning_Style,Career_Goal,Completion_Percentage,Assessment_Score,Training_Success
E078,G3,Data Science,Plotly,Dash,Analytics,30.0,Online,High,0.3,0.0,Active,3.6,Visual,Visualization Dev,100.0,79.0,Pass
E079,G5,Engineering,FastAPI,Starlette,Programming,40.0,Hybrid,High,0.2,0.0,Active,4.2,Hands-on,Python Backend,100.0,85.0,Pass
E080,G3,Engineering,WordPress,Drupal,Development,30.0,Online,High,0.4,15.0,Bench,3.5,Visual,CMS Developer,100.0,74.0,Pass
E081,G5,IT Support,Datadog,New Relic,Cloud,40.0,Online,Critical,0.35,12.0,Active,4.1,Reading,APM Specialist,70.0,0.0,Fail
E082,G3,QA,Manual,Exploratory,Testing,20.0,Online,High,0.35,0.0,Active,3.4,Visual,Manual Tester,100.0,76.0,Pass
E083,G5,Data Science,Computer Vision,OpenCV,Data Science,80.0,Hybrid,Critical,0.3,10.0,Active,4.4,Hands-on,CV Engineer,70.0,0.0,Fail
E084,G3,Engineering,Lisp,Scheme,Backend,40.0,Online,High,0.5,18.0,Bench,3.3,Reading,Legacy Dev,45.0,0.0,Fail
E085,G5,Engineering,Perl,CGI,Programming,30.0,Online,High,0.25,0.0,Active,4.0,Hands-on,Script Dev,100.0,80.0,Pass
E086,G3,IT Support,Ansible,Tower,Infrastructure,40.0,Hybrid,High,0.45,15.0,Bench,3.5,Hands-on,Config Mgmt,60.0,0.0,Fail
E087,G5,QA,Contract,Pact,Testing,35.0,Hybrid,High,0.2,0.0,Active,4.1,Hands-on,Contract Tester,100.0,81.0,Pass
E088,G3,Data Science,Statistical,Bayesian,Analytics,35.0,Online,High,0.3,0.0,Active,3.7,Reading,Statistician,100.0,83.0,Pass
E089,G6,Engineering,Haskell,PureScript,Programming,40.0,Hybrid,High,0.25,0.0,Active,4.5,Reading,FP Developer,100.0,82.0,Pass
E090,G4,Data Science,Snowflake,Redshift,Analytics,35.0,Hybrid,High,0.4,15.0,Active,3.9,Hands-on,Data Warehouse,55.0,0.0,Fail
E091,G6,IT Support,Okta,Auth0,Security,60.0,Hybrid,Critical,0.2,0.0,Active,4.3,Reading,IAM Specialist,100.0,84.0,Pass
E092,G4,Engineering,Blazor,MAUI,Development,45.0,Online,High,0.35,12.0,Active,3.8,Visual,NET Frontend,70.0,0.0,Fail
E093,G4,Data Science,H2O,AutoML,Data Science,60.0,Hybrid,Critical,0.5,18.0,Bench,3.7,Hands-on,ML Engineer,40.0,0.0,Fail
E094,G6,IT Support,Puppet,Chef,DevOps,35.0,Hybrid,Critical,0.25,0.0,Active,4.2,Hands-on,Config Mgmt Lead,100.0,83.0,Pass
E095,G4,Engineering,Webpack,Vite,Development,30.0,Online,High,0.3,0.0,Active,3.9,Visual,Build Eng,100.0,78.0,Pass
E096,G6,QA,Chaos,Resilience,Security,60.0,Hybrid,Critical,0.2,0.0,Active,4.4,Hands-on,SRE Tester,100.0,87.0,Pass
E097,G4,Engineering,Electron,Tauri,Development,45.0,Online,High,0.5,20.0,Bench,3.6,Visual,Desktop Dev,0.0,0.0,Fail
E098,G4,QA,Performance,Metrics,Testing,20.0,Online,High,0.25,0.0,Active,3.8,Hands-on,Perf Analyst,100.0,80.0,Pass
E099,G6,Engineering,Observability,OpenTelemetry,DevOps,50.0,Hybrid,Critical,0.15,0.0,Active,4.6,Hands-on,SRE Engineer,100.0,89.0,Pass
E100,G3,Engineering,Bash,Shell,Programming,25.0,Online,High,0.3,10.0,Active,3.6,Hands-on,Script Eng,100.0,77.0,Pass
